id,availablecar,availablemotor,update_time
TPE0002,285,-9,Mon Jan 19 01:16:00 CST 2026
TPE0003,105,-9,Mon Jan 19 01:16:00 CST 2026
TPE0005,1282,0,Mon Jan 19 01:16:00 CST 2026
TPE0006,399,1373,Mon Jan 19 01:16:00 CST 2026
TPE0007,77,-9,Mon Jan 19 01:16:00 CST 2026
TPE0008,60,-9,Mon Jan 19 01:16:00 CST 2026
TPE0009,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0010,770,0,Mon Jan 19 01:16:00 CST 2026
TPE0011,331,-9,Mon Jan 19 01:16:00 CST 2026
TPE0014,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0015,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0020,63,0,Mon Jan 19 01:16:00 CST 2026
TPE0022,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0033,262,0,Mon Jan 19 01:16:00 CST 2026
TPE0038,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0040,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0046,97,-9,Mon Jan 19 01:16:00 CST 2026
TPE0049,0,-9,Mon Jan 19 01:16:00 CST 2026
TPE0050,273,-9,Mon Jan 19 01:16:00 CST 2026
TPE0051,183,284,Mon Jan 19 01:16:00 CST 2026
TPE0054,24,-9,Mon Jan 19 01:16:00 CST 2026
TPE0056,52,-9,Mon Jan 19 01:16:00 CST 2026
TPE0058,214,-9,Mon Jan 19 01:16:00 CST 2026
TPE0061,286,-9,Mon Jan 19 01:16:00 CST 2026
TPE0062,84,-9,Mon Jan 19 01:16:00 CST 2026
TPE0065,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0066,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0067,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0068,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0069,50,-9,Mon Jan 19 01:16:00 CST 2026
TPE0070,410,-9,Mon Jan 19 01:16:00 CST 2026
TPE0072,114,-9,Mon Jan 19 01:16:00 CST 2026
TPE0073,502,-9,Mon Jan 19 01:16:00 CST 2026
TPE0075,51,-9,Mon Jan 19 01:16:00 CST 2026
TPE0080,24,-9,Mon Jan 19 01:16:00 CST 2026
TPE0082,43,0,Mon Jan 19 01:16:00 CST 2026
TPE0084,132,-9,Mon Jan 19 01:16:00 CST 2026
TPE0085,58,99,Mon Jan 19 01:16:00 CST 2026
TPE0086,26,-9,Mon Jan 19 01:16:00 CST 2026
TPE0089,0,-9,Mon Jan 19 01:16:00 CST 2026
TPE0091,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0092,14,-9,Mon Jan 19 01:16:00 CST 2026
TPE0094,6,0,Mon Jan 19 01:16:00 CST 2026
TPE0095,338,196,Mon Jan 19 01:16:00 CST 2026
TPE0096,848,1722,Mon Jan 19 01:16:00 CST 2026
TPE0097,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0098,149,-9,Mon Jan 19 01:16:00 CST 2026
TPE0099,124,-9,Mon Jan 19 01:16:00 CST 2026
TPE0100,240,-9,Mon Jan 19 01:16:00 CST 2026
TPE0101,194,-9,Mon Jan 19 01:16:00 CST 2026
TPE0102,14,0,Mon Jan 19 01:16:00 CST 2026
TPE0103,29,-9,Mon Jan 19 01:16:00 CST 2026
TPE0104,17,-9,Mon Jan 19 01:16:00 CST 2026
TPE0106,32,-9,Mon Jan 19 01:16:00 CST 2026
TPE0108,140,-9,Mon Jan 19 01:16:00 CST 2026
TPE0109,0,-9,Mon Jan 19 01:16:00 CST 2026
TPE0110,390,-9,Mon Jan 19 01:16:00 CST 2026
TPE0114,13,-9,Mon Jan 19 01:16:00 CST 2026
TPE0115,32,0,Mon Jan 19 01:16:00 CST 2026
TPE0116,140,-9,Mon Jan 19 01:16:00 CST 2026
TPE0117,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0118,33,0,Mon Jan 19 01:16:00 CST 2026
TPE0120,66,0,Mon Jan 19 01:16:00 CST 2026
TPE0122,49,0,Mon Jan 19 01:16:00 CST 2026
TPE0123,40,-9,Mon Jan 19 01:16:00 CST 2026
TPE0125,45,0,Mon Jan 19 01:16:00 CST 2026
TPE0126,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0127,33,-9,Mon Jan 19 01:16:00 CST 2026
TPE0128,11,-9,Mon Jan 19 01:16:00 CST 2026
TPE0129,60,0,Mon Jan 19 01:16:00 CST 2026
TPE0130,245,0,Mon Jan 19 01:16:00 CST 2026
TPE0134,27,0,Mon Jan 19 01:16:00 CST 2026
TPE0136,62,100,Mon Jan 19 01:16:00 CST 2026
TPE0137,77,183,Mon Jan 19 01:16:00 CST 2026
TPE0138,10,-9,Mon Jan 19 01:16:00 CST 2026
TPE0139,0,-9,Mon Jan 19 01:16:00 CST 2026
TPE0140,44,-9,Mon Jan 19 01:16:00 CST 2026
TPE0142,17,0,Mon Jan 19 01:16:00 CST 2026
TPE0144,0,-9,Mon Jan 19 01:16:00 CST 2026
TPE0145,156,282,Mon Jan 19 01:16:00 CST 2026
TPE0147,34,-9,Mon Jan 19 01:16:00 CST 2026
TPE0148,27,-9,Mon Jan 19 01:16:00 CST 2026
TPE0150,0,-9,Mon Jan 19 01:16:00 CST 2026
TPE0151,87,-9,Mon Jan 19 01:16:00 CST 2026
TPE0152,3,-9,Mon Jan 19 01:16:00 CST 2026
TPE0153,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0154,52,-9,Mon Jan 19 01:16:00 CST 2026
TPE0156,0,-9,Mon Jan 19 01:16:00 CST 2026
TPE0157,26,-9,Mon Jan 19 01:16:00 CST 2026
TPE0158,49,0,Mon Jan 19 01:16:00 CST 2026
TPE0160,67,0,Mon Jan 19 01:16:00 CST 2026
TPE0161,45,0,Mon Jan 19 01:16:00 CST 2026
TPE0162,6,0,Mon Jan 19 01:16:00 CST 2026
TPE0164,36,-9,Mon Jan 19 01:16:00 CST 2026
TPE0169,42,-9,Mon Jan 19 01:16:00 CST 2026
TPE0170,28,-9,Mon Jan 19 01:16:00 CST 2026
TPE0176,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0177,31,-9,Mon Jan 19 01:16:00 CST 2026
TPE0178,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0181,79,87,Mon Jan 19 01:16:00 CST 2026
TPE0182,-9,-9,Mon Jan 19 01:16:00 CST 2026
TPE0183,24,-9,Mon Jan 19 01:16:00 CST 2026
TPE0184,22,-9,Mon Jan 19 01:16:00 CST 2026
TPE0187,17,-9,Mon Jan 19 01:16:00 CST 2026
